path,type,spacing,unit
data/surface/Oct_Image 4_RAW_ch00-2.tif,surface,1.7761465211402843,$\mu$m
data/surface/Oct_Image 4_RAW_ch00-2.tif,surface,1.7643927086625293,$\mu$m
data/surface/Oct_Image 4_RAW_ch00-2.tif,surface,1.4156563155648318,$\mu$m
data/surface/Oct_Image 4_RAW_ch00-2.tif,surface,1.7465091859794424,$\mu$m
data/surface/Oct_Image 4_RAW_ch00-2.tif,surface,1.2930174844876665,$\mu$m
data/surface/Oct_Image 4_RAW_ch00-2.tif,surface,1.6126258380890304,$\mu$m
data/surface/Oct_Image 4_RAW_ch00-2.tif,surface,1.7761465211402843,$\mu$m
data/surface/Oct_Image 4_RAW_ch00-2.tif,surface,1.7796370153295007,$\mu$m
data/surface/Oct_Image 4_RAW_ch00-2.tif,surface,1.708900008926201,$\mu$m
data/surface/Oct_Image 4_RAW_ch00-2.tif,surface,1.5249000361513771,$\mu$m
data/surface/Oct_Image 4_RAW_ch00-2.tif,surface,1.7465091859794424,$\mu$m
data/surface/Oct_Image 4_RAW_ch00-2.tif,surface,1.7796370153295007,$\mu$m
data/surface/Oct_Image 4_RAW_ch00-2.tif,surface,1.2192016541239423,$\mu$m
data/surface/Oct_Image 4_RAW_ch00-2.tif,surface,1.4870867122917415,$\mu$m
data/surface/Oct_Image 4_RAW_ch00-2.tif,surface,1.7643927086625293,$\mu$m
data/surface/Oct_Image 4_RAW_ch00-2.tif,surface,1.6928032607921233,$\mu$m
data/surface/Oct_Image 4_RAW_ch00-2.tif,surface,1.495897704737604,$\mu$m
data/surface/Oct_Image 4_RAW_ch00-2.tif,surface,1.4156563155648318,$\mu$m
data/surface/Oct_Image 4_RAW_ch00-2.tif,surface,1.708900008926201,$\mu$m
data/surface/Oct_Image 4_RAW_ch00-2.tif,surface,1.6928032607921233,$\mu$m
data/surface/Oct_Image 4_RAW_ch00-2.tif,surface,1.683288195200946,$\mu$m
data/surface/Oct_Image 4_RAW_ch00-2.tif,surface,1.2930174844876665,$\mu$m
data/surface/Oct_Image 4_RAW_ch00-2.tif,surface,1.2192016541239423,$\mu$m
data/surface/Oct_Image 4_RAW_ch00-2.tif,surface,1.0861938377496072,$\mu$m
data/surface/Oct_Image 4_RAW_ch00-2.tif,surface,1.555943839083245,$\mu$m
data/surface/Oct_Image 4_RAW_ch00-2.tif,surface,1.6126258380890304,$\mu$m
data/surface/Oct_Image 4_RAW_ch00-2.tif,surface,1.0861938377496072,$\mu$m
data/surface/Oct_Image 4_RAW_ch00-2.tif,surface,1.4550759256369676,$\mu$m
data/surface/Oct_Image 4_RAW_ch00-2.tif,surface,1.7775846135218496,$\mu$m
data/surface/Oct_Image 4_RAW_ch00-2.tif,surface,1.5249000361513771,$\mu$m
data/surface/Oct_Image 4_RAW_ch00-2.tif,surface,1.4870867122917415,$\mu$m
data/surface/Oct_Image 4_RAW_ch00-2.tif,surface,1.683288195200946,$\mu$m
data/surface/Oct_Image 4_RAW_ch00-2.tif,surface,1.495897704737604,$\mu$m
data/surface/Oct_Image 4_RAW_ch00-2.tif,surface,1.409195048084338,$\mu$m
data/surface/Oct_Image 4_RAW_ch00-2.tif,surface,1.6067295629971603,$\mu$m
data/surface/Oct_Image 4_RAW_ch00-2.tif,surface,1.555943839083245,$\mu$m
data/surface/Oct_Image 4_RAW_ch00-2.tif,surface,1.4550759256369676,$\mu$m
data/surface/Oct_Image 4_RAW_ch00-2.tif,surface,1.1802549799608142,$\mu$m
data/surface/Oct_Image 4_RAW_ch00-2.tif,surface,1.4330835882415338,$\mu$m
data/surface/Oct_Image 4_RAW_ch00-2.tif,surface,1.5692597186439043,$\mu$m
data/surface/Oct_Image 4_RAW_ch00-2.tif,surface,1.7775846135218496,$\mu$m
data/surface/Oct_Image 4_RAW_ch00-2.tif,surface,1.1802549799608142,$\mu$m
data/surface/Oct_Image 4_RAW_ch00-2.tif,surface,1.629514791105583,$\mu$m
data/surface/Oct_Image 4_RAW_ch00-2.tif,surface,1.409195048084338,$\mu$m
data/surface/Oct_Image 4_RAW_ch00-2.tif,surface,1.1025385294226422,$\mu$m
data/surface/Oct_Image 4_RAW_ch00-2.tif,surface,1.336879805813102,$\mu$m
data/surface/Oct_Image 4_RAW_ch00-2.tif,surface,1.4330835882415338,$\mu$m
data/surface/Oct_Image 4_RAW_ch00-2.tif,surface,1.2083747846814685,$\mu$m
data/surface/Oct_Image 4_RAW_ch00-2.tif,surface,1.4419714072205714,$\mu$m
data/surface/Oct_Image 4_RAW_ch00-2.tif,surface,1.1025385294226422,$\mu$m
data/surface/Oct_Image 4_RAW_ch00-2.tif,surface,1.6067295629971603,$\mu$m
data/surface/Oct_Image 4_RAW_ch00-2.tif,surface,1.336879805813102,$\mu$m
data/surface/Oct_Image 4_RAW_ch00-2.tif,surface,1.5692597186439043,$\mu$m
data/surface/Oct_Image 4_RAW_ch00-2.tif,surface,1.629514791105583,$\mu$m
data/surface/Oct_Image 4_RAW_ch00-2.tif,surface,1.2083747846814685,$\mu$m
data/surface/Oct_Image 4_RAW_ch00-2.tif,surface,1.1489096294790129,$\mu$m
data/surface/Oct_Image 4_RAW_ch00-2.tif,surface,1.4419714072205714,$\mu$m
data/surface/Oct_Image 4_RAW_ch00-2.tif,surface,1.1489096294790129,$\mu$m
data/surface/Oct_Image 4_RAW_ch00-2.tif,surface,1.4653257066548329,$\mu$m
data/surface/Oct_Image 4_RAW_ch00-2.tif,surface,1.4653257066548329,$\mu$m
data/surface/Oct_Image 4_RAW_ch00-2.tif,surface,1.0716451867711436,$\mu$m
data/surface/Oct_Image 4_RAW_ch00-2.tif,surface,1.8594842459029968,$\mu$m
data/surface/Oct_Image 4_RAW_ch00-2.tif,surface,1.623455008479891,$\mu$m
data/surface/Oct_Image 4_RAW_ch00-2.tif,surface,1.0716451867711436,$\mu$m
data/surface/Oct_Image 4_RAW_ch00-2.tif,surface,1.2836671751106759,$\mu$m
data/surface/Oct_Image 4_RAW_ch00-2.tif,surface,1.8594842459029968,$\mu$m
data/surface/Oct_Image 4_RAW_ch00-2.tif,surface,1.100218439761193,$\mu$m
data/surface/Oct_Image 4_RAW_ch00-2.tif,surface,1.3176272911874543,$\mu$m
data/surface/Oct_Image 4_RAW_ch00-2.tif,surface,1.8313955383049845,$\mu$m
data/surface/Oct_Image 4_RAW_ch00-2.tif,surface,1.623455008479891,$\mu$m
data/surface/Oct_Image 4_RAW_ch00-2.tif,surface,1.2836671751106759,$\mu$m
data/surface/Oct_Image 4_RAW_ch00-2.tif,surface,1.100218439761193,$\mu$m
data/surface/Oct_Image 4_RAW_ch00-2.tif,surface,1.3176272911874543,$\mu$m
data/surface/Oct_Image 4_RAW_ch00-2.tif,surface,1.8313955383049845,$\mu$m
